Name,CAS,SMILES,IUPAC_Name
Benzalkonium chloride,8001-54-5,[Cl-].C(C1=CC=CC=C1)[N+](CCCCCCCCCCCCC)(C)C,benzyl-dimethyl-tridecylazanium chloride
Acibenzolar,126448-41-7,S1N=NC2=C1C(=CC=C2)C(S)=O,"1,2,3-benzothiadiazole-7-carbothioic S-acid"
Trifloxystrobin,141517-21-7,CO\N=C(\C(=O)OC)/C1=C(C=CC=C1)CO/N=C(\C)/C1=CC(=CC=C1)C(F)(F)F,methyl (2E)-2-methoxyimino-2-[2-[[(E)-1-[3-(trifluoromethyl)phenyl]ethylideneamino]oxymethyl]phenyl]acetate
Metyltetraprole,1472649-01-6,ClC1=CC=C(C=C1)N1N=C(C=C1)OCC1=C(C=CC=C1C)N1N=NN(C1=O)C,1-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]-3-methylphenyl]-4-methyltetrazol-5-one
Chlordecone,143-50-0,ClC12C3(C4(C5(C(C3(C2(C5(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)=O)Cl)Cl)Cl,"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one"
Pyrimorph,868390-90-3,C(C)(C)(C)C1=CC=C(C=C1)C(=CC(=O)N1CCOCC1)C=1C=NC(=CC1)Cl,3-(4-tert-butylphenyl)-3-(6-chloro-3-pyridinyl)-1-morpholin-4-ylprop-2-en-1-one
Metconazole,125116-23-6,ClC1=CC=C(C=C1)CC1CCC(C1(O)CN1N=CN=C1)(C)C,"5-[(4-chlorophenyl)methyl]-2,2-dimethyl-1-(1,2,4-triazol-1-ylmethyl)cyclopentan-1-ol"
Dibromochloropropane,96-12-8,BrCC(CCl)Br,"1,2-dibromo-3-chloropropane"
Disodium phosphonate,13708-85-5,[Na+].[Na+].[O-][PH]([O-])=O,
Oxine-copper,10380-28-6,N1=CC=CC2=CC=CC(=C12)[O-].N1=CC=CC2=CC=CC(=C12)[O-].[Cu+2],copper bis(quinolin-8-olate)
Carboxin,5234-68-4,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,"6-methyl-N-phenyl-2,3-dihydro-1,4-oxathiine-5-carboxamide"
8-hydroxyquinoline,148-24-3,N1=CC=CC2=CC=CC(=C12)O,quinolin-8-ol
Prothiocarb,19622-08-3,CN(CCCNC(SCC)=O)C,S-ethyl N-[3-(dimethylamino)propyl]carbamothioate
Fluazinam,79622-59-6,ClC=1C(=NC=C(C1)C(F)(F)F)NC1=C(C(=C(C=C1[N+](=O)[O-])C(F)(F)F)Cl)[N+](=O)[O-],"3-chloro-N-[3-chloro-2,6-dinitro-4-(trifluoromethyl)phenyl]-5-(trifluoromethyl)pyridin-2-amine"
Quintozene,82-68-8,ClC1=C(C(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl)Cl,"1,2,3,4,5-pentachloro-6-nitrobenzene"
Piperalin,3478-94-2,ClC=1C=C(C(=O)OCCCN2C(CCCC2)C)C=CC1Cl,"3-(2-methylpiperidin-1-yl)propyl 3,4-dichlorobenzoate"
Glyodin,556-22-9,CCCCCCCCCCCCCCCCCC1=NCCN1.CC(O)=O,"acetic acid;2-heptadecyl-4,5-dihydro-1H-imidazole"
Fenarimol,60168-88-9,ClC1=C(C=CC=C1)C(O)(C=1C=NC=NC1)C1=CC=C(C=C1)Cl,(2-chlorophenyl)-(4-chlorophenyl)-pyrimidin-5-ylmethanol
Thifluzamide,130000-40-7,BrC1=C(C(=CC(=C1)OC(F)(F)F)Br)NC(=O)C1=C(N=C(S1)C)C(F)(F)F,"N-[2,6-dibromo-4-(trifluoromethoxy)phenyl]-2-methyl-4-(trifluoromethyl)-1,3-thiazole-5-carboxamide"
Asomate,3586-60-5,CN(C(=S)S[As](SC(N(C)C)=S)SC(N(C)C)=S)C,"bis(dimethylcarbamothioylsulfanyl)arsanyl N,N-dimethylcarbamodithioate"
Benalaxyl,71626-11-4,CC1=C(N(C(CC2=CC=CC=C2)=O)C(C(=O)OC)C)C(=CC=C1)C,"methyl 2-(2,6-dimethyl-N-(2-phenylacetyl)anilino)propanoate"
Prothiocarb hydrochloride,19622-19-6,[Cl-].CCSC(=O)NCCC[NH+](C)C,S-ethyl N-[3-(dimethylamino)propyl]carbamothioate;hydrochloride
Kresoxim-methyl,143390-89-0,CO\N=C(\C(=O)OC)/C1=C(C=CC=C1)COC1=C(C=CC=C1)C,methyl (2E)-2-methoxyimino-2-[2-[(2-methylphenoxy)methyl]phenyl]acetate
Chloroinconazide,2442449-10-5,ClC1=CC=C(C=C1)\C=N\NC(=O)[C@@H]1CC2=C(NC3=CC=CC=C23)C(N1)C,"(3S)-N-[(E)-(4-chlorophenyl)methylideneamino]-1-methyl-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indole-3-carboxamide"
Pyraclostrobin,175013-18-0,ClC1=CC=C(C=C1)N1N=C(C=C1)OCC1=C(C=CC=C1)N(C(OC)=O)OC,methyl N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate
Valifenalate,283159-90-0,ClC1=CC=C(C=C1)C(CC(=O)OC)NC([C@H](C(C)C)NC(=O)OC(C)C)=O,methyl 3-(4-chlorophenyl)-3-[[(2S)-3-methyl-2-(propan-2-yloxycarbonylamino)butanoyl]amino]propanoate
Fluoxastrobin,361377-29-9,ClC1=C(OC2=C(C(=NC=N2)OC2=C(C=CC=C2)/C(=N\OC)/C2=NOCCO2)F)C=CC=C1,"(E)-1-[2-[6-(2-chlorophenoxy)-5-fluoropyrimidin-4-yl]oxyphenyl]-1-(5,6-dihydro-1,4,2-dioxazin-3-yl)-N-methoxymethanimine"
Cyazofamid,120116-88-3,ClC=1N=C(N(C1C1=CC=C(C=C1)C)S(=O)(=O)N(C)C)C#N,"4-chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)imidazole-1-sulfonamide"
Benthiazole,21564-17-0,S1C(=NC2=C1C=CC=C2)SCSC#N,"1,3-benzothiazol-2-ylsulfanylmethyl thiocyanate"
Metarylpicoxamid,2376210-14-7,COC1=C(C(=NC=C1)C(=O)N[C@H](C(=O)O[C@@H](C)[C@@H](C)C1=C(C=CC=C1)C)C)OC(CC)=O,"[(2S,3S)-3-(2-methylphenyl)butan-2-yl] (2S)-2-[(4-methoxy-3-propanoyloxypyridine-2-carbonyl)amino]propanoate"
Fuberidazole,3878-19-1,O1C(=CC=C1)C1=NC2=C(N1)C=CC=C2,2-(furan-2-yl)-1H-benzimidazole
Dinosulfon,5386-77-6,CSC(=O)OC1=C(C=C(C=C1C(C)CCCCCC)[N+](=O)[O-])[N+](=O)[O-],"(2,4-dinitro-6-octan-2-ylphenyl) methylsulfanylformate"
Carboxin sulfoxide,17757-70-9,CC1=C(S(CCO1)=O)C(=O)NC1=CC=CC=C1,"6-methyl-4-oxo-N-phenyl-2,3-dihydro-1,4-oxathiine-5-carboxamide"
Propionic acid,79-09-4,C(CC)(=O)O,propanoic acid
Mercurous chloride,7546-30-7,Cl[Hg],chloromercury
Fenapanil,61019-78-1,N1(C=NC=C1)CC(C#N)(CCCC)C1=CC=CC=C1,2-(imidazol-1-ylmethyl)-2-phenylhexanenitrile
Trioxymethylene,110-88-3,O1COCOC1,"1,3,5-trioxane"
Boscalid,188425-85-6,ClC1=NC=CC=C1C(=O)NC1=C(C=CC=C1)C1=CC=C(C=C1)Cl,2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide
Bentaluron,28956-64-1,S1C(=NC2=C1C=CC=C2)NC(=O)NC(C)C,"1-(1,3-benzothiazol-2-yl)-3-propan-2-ylurea"
Vinegar,64-19-7,C(C)(=O)O,acetic acid
Ethaboxam,162650-77-3,C(#N)C(NC(=O)C1=C(N=C(S1)NCC)CC)C=1SC=CC1,"N-[cyano(thiophen-2-yl)methyl]-4-ethyl-2-(ethylamino)-1,3-thiazole-5-carboxamide"
Potassium orthophosphate,7778-53-2,[K+].[K+].[K+].[O-][P]([O-])([O-])=O,tripotassium;phosphate
