Name,CAS,SMILES,IUPAC_Name
Isodrin,465-73-6,Cl[C@@]12[C@H]3[C@H]4C=C[C@@H]([C@H]3[C@@](C(=C1Cl)Cl)(C2(Cl)Cl)Cl)C4,"(1S,2S,3R,6S,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene"
Chlorfensulphide,2274-74-0,ClC1=CC=C(C=C1)SN=NC1=C(C=C(C(=C1)Cl)Cl)Cl,"(4-chlorophenyl)sulfanyl-(2,4,5-trichlorophenyl)diazene"
Dichlorvos,62-73-7,P(=O)(OC=C(Cl)Cl)(OC)OC,"2,2-dichloroethenyl dimethyl phosphate"
Vinylfluthrin,3061364-30-2,Not found,"cis-(2,3,5,6-tetrafluorophenyl)methyl (1R,3R)-3-[(Z)-2-cyanoethenyl]-2,2-dimethylcyclopropane-1-carboxylate"
Tebufenpyrad,119168-77-3,C(C)(C)(C)C1=CC=C(C=C1)CNC(=O)C1=C(C(=NN1C)CC)Cl,N-[(4-tert-butylphenyl)methyl]-4-chloro-3-ethyl-1-methylpyrazole-5-carboxamide
Promecarb,2631-37-0,CNC(OC1=CC(=CC(=C1)C(C)C)C)=O,(3-methyl-5-propan-2-ylphenyl) N-methylcarbamate
Bifenthrin,82657-04-3,Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3,"trans-(2-methyl-3-phenylphenyl)methyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate"
Benzoic acid,65-85-0,C(C1=CC=CC=C1)(=O)O,benzoic acid
Terpinolene,586-62-9,CC1=CCC(CC1)=C(C)C,1-methyl-4-propan-2-ylidenecyclohexene
Thiocyclam hydrochloride,75655-75-3,Not found,"N,N-dimethyltrithian-5-amine;hydrochloride"
Fonofos,944-22-9,C(C)OP(=S)(SC1=CC=CC=C1)CC,ethoxy-ethyl-phenylsulfanyl-sulfanylidene-lambda5-phosphane
Aluminium phosphide,20859-73-8,[P-3].[Al+3],aluminum phosphorus(3-)
Endosulfan,115-29-7,ClC12C3COS(OCC3C(C(=C1Cl)Cl)(C2(Cl)Cl)Cl)=O,"1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide"
