Name,CAS,SMILES,IUPAC_Name
Oxabetrinil,74782-23-3,O1C(OCC1)CO\N=C(\C1=CC=CC=C1)/C#N,"(Z)-N-(1,3-dioxolan-2-ylmethoxy)benzenecarboximidoyl cyanide"
Cumyluron,99485-76-4,ClC1=C(C=CC=C1)CNC(=O)NC(C)(C)C1=CC=CC=C1,1-[(2-chlorophenyl)methyl]-3-(2-phenylpropan-2-yl)urea
Cyprosulfamide,221667-31-8,C1(CC1)NC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(C1=C(C=CC=C1)OC)=O,N-[4-(cyclopropylcarbamoyl)phenyl]sulfonyl-2-methoxybenzamide
Piprotal,5281-13-0,C(CCC)OCCOCCOC(C1=CC2=C(OCO2)C=C1)OCCOCCOCCCC,"5-[bis[2-(2-butoxyethoxy)ethoxy]methyl]-1,3-benzodioxole"
Cyometrinil,78370-21-5,C(#N)CO\N=C(\C1=CC=CC=C1)/C#N,(Z)-N-(cyanomethoxy)benzenecarboximidoyl cyanide
Mefenpyr,135591-00-3,ClC1=C(C=CC(=C1)Cl)N1N=C(CC1(C(=O)O)C)C(=O)O,"1-(2,4-dichlorophenyl)-5-methyl-4H-pyrazole-3,5-dicarboxylic acid"
Bucarpolate,136-63-0,O1COC2=C1C=CC(=C2)C(=O)OCCOCCOCCCC,"2-(2-butoxyethoxy)ethyl 1,3-benzodioxole-5-carboxylate"
Furilazole,121776-33-8,ClC(C(=O)N1C(OC(C1)C=1OC=CC1)(C)C)Cl,"2,2-dichloro-1-[5-(furan-2-yl)-2,2-dimethyl-1,3-oxazolidin-3-yl]ethanone"
Dichlormid,37764-25-3,ClC(C(=O)N(CC=C)CC=C)Cl,"2,2-dichloro-N,N-bis(prop-2-enyl)acetamide"
Jiecaowan,96420-72-3,ClC(C1(OCCO1)C)Cl,"2-(dichloromethyl)-2-methyl-1,3-dioxolane"
AD-67,71526-07-3,ClC(C(=O)N1CCOC12CCCCC2)Cl,"2,2-dichloro-1-(1-oxa-4-azaspiro[4.5]decan-4-yl)ethanone"
Verbutin,185676-84-0,C(C#CC)OC(C)C1=CC(=C(C=C1)OC)OC,"4-(1-but-2-ynoxyethyl)-1,2-dimethoxybenzene"
Fluxofenim,88485-37-4,ClC1=CC=C(C=C1)C(C(F)(F)F)=NOCC1OCCO1,"1-(4-chlorophenyl)-N-(1,3-dioxolan-2-ylmethoxy)-2,2,2-trifluoroethanimine"
Sulphaquinoxaline,59-40-5,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=CC=CC=C2N=C1,4-amino-N-quinoxalin-2-ylbenzenesulfonamide
Isoxadifen-ethyl,163520-33-0,C1(=CC=CC=C1)C1(CC(=NO1)C(=O)OCC)C1=CC=CC=C1,"ethyl 5,5-diphenyl-4H-1,2-oxazole-3-carboxylate"
Diethyl maleate,141-05-9,C(\C=C/C(=O)OCC)(=O)OCC,diethyl (Z)-but-2-enedioate
Propyl isome,83-59-0,CC1CC=2C(=CC3=C(OCO3)C2)C(C1C(=O)OCCC)C(=O)OCCC,"dipropyl 7-methyl-5,6,7,8-tetrahydrobenzo[f][1,3]benzodioxole-5,6-dicarboxylate"
Dicyclonon,79260-71-2,ClC(C(=O)N1C2(N(CC(C1)(C)C)C(CC2)=O)C)Cl,"1-(2,2-dichloroacetyl)-3,3,8a-trimethyl-2,4,7,8-tetrahydropyrrolo[1,2-a]pyrimidin-6-one"
Jiajizengxiaolin,33576-92-0,COP(=S)(OC1=CC=CC=C1)OC,dimethoxy-phenoxy-sulfanylidene-lambda5-phosphane
Isoxadifen,209866-92-2,C1(=CC=CC=C1)C1(CC(=NO1)C(=O)O)C1=CC=CC=C1,"5,5-diphenyl-4H-1,2-oxazole-3-carboxylic acid"
Metcamifen,129531-12-0,COC1=C(C(=O)NS(=O)(=O)C2=CC=C(C=C2)NC(NC)=O)C=CC=C1,2-methoxy-N-[4-(methylcarbamoylamino)phenyl]sulfonylbenzamide
Fenchlorazole-ethyl,103112-35-2,ClC1=C(C=CC(=C1)Cl)N1N=C(N=C1C(Cl)(Cl)Cl)C(=O)OCC,"ethyl 1-(2,4-dichlorophenyl)-5-(trichloromethyl)-1,2,4-triazole-3-carboxylate"
Flurazole,72850-64-7,ClC=1SC(=C(N1)C(F)(F)F)C(=O)OCC1=CC=CC=C1,"benzyl 2-chloro-4-(trifluoromethyl)-1,3-thiazole-5-carboxylate"
Sesamex,51-14-9,C(C)OCCOCCOC(C)OC1=CC2=C(OCO2)C=C1,"5-[1-[2-(2-ethoxyethoxy)ethoxy]ethoxy]-1,3-benzodioxole"
Naphthalic anhydride,81-84-5,C=12C(OC(C3=CC=CC(C=CC1)=C23)=O)=O,"3-oxatricyclo[7.3.1.05,13]trideca-1(12),5,7,9(13),10-pentaene-2,4-dione"
Dimepiperate,61432-55-1,N1(CCCCC1)C(SC(C)(C)C1=CC=CC=C1)=O,S-(2-phenylpropan-2-yl) piperidine-1-carbothioate
Dietholate,32345-29-2,C(C)OP(=S)(OC1=CC=CC=C1)OCC,diethoxy-phenoxy-sulfanylidene-lambda5-phosphane
Piperonyl sulfoxide,120-62-7,C(CCCCCCC)S(=O)C(CC1=CC2=C(OCO2)C=C1)C,"5-(2-octylsulfinylpropyl)-1,3-benzodioxole"
Cloquintocet-methyl,4367-49-1,ClC1=C2C=CC=NC2=C(C=C1)OCC(=O)OC,methyl 2-(5-chloroquinolin-8-yl)oxyacetate
Benoxacor,98730-04-2,ClC(C(=O)N1C(COC2=C1C=CC=C2)C)Cl,"2,2-dichloro-1-(3-methyl-2,3-dihydro-1,4-benzoxazin-4-yl)ethanone"
Sesamolin,526-07-8,O1COC2=C1C=CC(=C2)[C@H]2OC[C@@H]1[C@H](OC[C@@H]12)OC1=CC2=C(OCO2)C=C1,"5-[[(3S,3aR,6R,6aR)-3-(1,3-benzodioxol-5-yl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]oxy]-1,3-benzodioxole"
Fenchlorazole,103112-36-3,ClC1=C(C=CC(=C1)Cl)N1N=C(N=C1C(Cl)(Cl)Cl)C(=O)O,"1-(2,4-dichlorophenyl)-5-(trichloromethyl)-1,2,4-triazole-3-carboxylic acid"
Octachlorodipropyl ether,127-90-2,ClC(C(COCC(C(Cl)(Cl)Cl)Cl)Cl)(Cl)Cl,"1,1,1,2-tetrachloro-3-(2,3,3,3-tetrachloropropoxy)propane"
Mefenpyr diethyl,135590-91-9,ClC1=C(C=CC(=C1)Cl)N1N=C(CC1(C(=O)OCC)C)C(=O)OCC,"diethyl 1-(2,4-dichlorophenyl)-5-methyl-4H-pyrazole-3,5-dicarboxylate"
Tribufos,78-48-8,C(CCC)SP(=O)(SCCCC)SCCCC,1-bis(butylsulfanyl)phosphorylsulfanylbutane
Flurenol-butyl,2314-09-2,OC1(C2=CC=CC=C2C=2C=CC=CC12)C(=O)OCCCC,butyl 9-hydroxyfluorene-9-carboxylate
Fenclorim,3740-92-9,ClC1=NC(=NC(=C1)Cl)C1=CC=CC=C1,"4,6-dichloro-2-phenylpyrimidine"
Mephenate,2620-53-3,CNC(OC1=CC=C(C=C1)Cl)=O,(4-chlorophenyl) N-methylcarbamate
Ammonium acetate,631-61-8,C(C)(=O)[O-].[NH4+],azanium acetate
Piperonyl butoxide,51-03-6,C(CCC)OCCOCCOCC1=CC2=C(OCO2)C=C1CCC,"5-[2-(2-butoxyethoxy)ethoxymethyl]-6-propyl-1,3-benzodioxole"
"N1,N2-diallyl-N2-dichloroacetylglycinamide",17427-69-9,N(C1=CC=CC=C1)C1=CC=C(OCCOCCOC2=CC=C(NC3=CC=CC=C3)C=C2)C=C1,4-[2-[2-(4-anilinophenoxy)ethoxy]ethoxy]-N-phenylaniline
Triapenthenol,76608-88-3,C1(CCCCC1)\C=C(/C(C(C)(C)C)O)\N1N=CN=C1,"(E)-1-cyclohexyl-4,4-dimethyl-2-(1,2,4-triazol-1-yl)pent-1-en-3-ol"
Iprobenfos,26087-47-8,CC(C)OP(=O)(OC(C)C)SCC1=CC=CC=C1,di(propan-2-yloxy)phosphorylsulfanylmethylbenzene
Cloquintocet-mexyl,99607-70-2,ClC1=C2C=CC=NC2=C(C=C1)OCC(=O)OC(C)CCCCC,heptan-2-yl 2-(5-chloroquinolin-8-yl)oxyacetate
