Name,CAS,SMILES,IUPAC_Name
Lime sulphur,1344-81-6,S.[Ca++],
Thiamethoxam,153719-23-4,ClC=1SC(=CN1)CN\1COCN(/C1=N\[N+](=O)[O-])C,"(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide"
Tolylfluanid,731-27-1,ClC(F)(Cl)SN(C1=CC=C(C=C1)C)S(N(C)C)(=O)=O,N-[dichloro(fluoro)methyl]sulfanyl-N-(dimethylsulfamoyl)-4-methylaniline
Fluoroimide,41205-21-4,ClC=1C(N(C(C1Cl)=O)C1=CC=C(C=C1)F)=O,"3,4-dichloro-1-(4-fluorophenyl)pyrrole-2,5-dione"
Arsenic acid,7778-39-4,[As](O)(O)(O)=O,arsoric acid
Disodium octaborate tetrahydrate,12280-03-4,O.O.O.O.[Na+].[Na+].OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB([O-])[O-],"disodium;(9,11-dioxido-5-oxoboranyloxy-2,4,6,8,10,12,13-heptaoxa-1,3,5,7,9,11-hexaborabicyclo[5.5.1]tridecan-3-yl)oxy-oxoborane;tetrahydrate"
2-methoxyethylmercury acetate,151-38-2,C(C)(=O)O[Hg]CCOC,acetyloxy(2-methoxyethyl)mercury
Bethoxazin,163269-30-5,S1C(=CC2=C1C=CC=C2)C2=NOCCS2=O,"3-(1-benzothiophen-2-yl)-5,6-dihydro-1,4,2-oxathiazine 4-oxide"
Fluotrimazole,57381-79-0,C1(=CC=CC=C1)C(N1N=CN=C1)(C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1,"1-[diphenyl-[3-(trifluoromethyl)phenyl]methyl]-1,2,4-triazole"
Hexaconazole,79983-71-4,ClC1=C(C=CC(=C1)Cl)C(CN1N=CN=C1)(CCCC)O,"2-(2,4-dichlorophenyl)-1-(1,2,4-triazol-1-yl)hexan-2-ol"
Urea,57-13-6,NC(=O)N,urea
Zinc oxide,1314-13-2,[O-2].[Zn+2],zinc oxygen(2-)
Thiacloprid,111988-49-9,ClC1=CC=C(C=N1)CN1C(SCC1)=NC#N,"[3-[(6-chloro-3-pyridinyl)methyl]-1,3-thiazolidin-2-ylidene]cyanamide"
Chloraniformethan,20856-57-9,ClC(C(NC1=CC(=C(C=C1)Cl)Cl)NC=O)(Cl)Cl,"N-[2,2,2-trichloro-1-(3,4-dichloroanilino)ethyl]formamide"
Mancopper,53988-93-5,[Mn++].[Cu++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S,copper;manganese(2+);bis(N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate)
Cypermethrin,52315-07-8,ClC(=CC1C(C1C(=O)OC(C1=CC(=CC=C1)OC1=CC=CC=C1)C#N)(C)C)Cl,"[cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Chlortetracycline hydrochloride,64-72-2,[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+],"(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride"
Zinc borate,14720-55-9,B([O-])([O-])OB([O-])[O-].[Zn+2].[Zn+2].[Zn+2],trizinc diborate
Hexaflurate,17029-22-0,F[As-](F)(F)(F)(F)F.[K+],potassium hexafluoroarsenic(1-)
Metsulfovax,21452-18-6,CC=1SC(=C(N1)C)C(=O)NC1=CC=CC=C1,"2,4-dimethyl-N-phenyl-1,3-thiazole-5-carboxamide"
Epichlorohydrin,106-89-8,ClCC1OC1,2-(chloromethyl)oxirane
Aluminium phosphide,20859-73-8,[P-3].[Al+3],aluminum phosphorus(3-)
Fipronil,120068-37-3,NC1=C(C(=NN1C1=C(C=C(C=C1Cl)C(F)(F)F)Cl)C#N)S(=O)C(F)(F)F,"5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethylsulfinyl)pyrazole-3-carbonitrile"
Decafentin,15652-38-7,Not found,benzene;decyl(triphenyl)phosphanium;tin(4+);bromide;chloride
